PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Accounting Certificate - Online,Accounting Major (A.A.) (0.84); Accounting & Data Analysis Major (B.S.) (0.77); Computational Mathematics (B.S.) - Actuarial - Online (0.61); Business Major (A.A.) (0.61); Information Systems Major (B.S.) (0.58)
Accounting Major (A.A.),Accounting & Data Analysis Major (B.S.) (0.93); Accounting Certificate - Online (0.84); Business Major (A.A.) (0.77); Information Systems Major (B.S.) (0.74); Business Administration & Data Analysis Major (B.S.) (0.73)
Acting Major (B.F.A.),Musical Theatre Major (B.F.A.) (0.95); Vocal Performance Major (B.M.) (0.77); Music Major (B.A./B.S.) Vocal (0.76); Theatre Arts Major (B.A./B.S.) (0.69); Music Education Major (B.M.) (0.69)
Addiction Studies - Graduate Certificate,Master of Arts in Addiction Counseling (M.A.) (0.87); Master of Arts in Marriage & Family Therapy (M.A.) (0.83); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.83); Master of Arts in Marriage & Family Counseling (M.A.) (0.83); Mental Health Studies - Graduate Certificate (0.80)
Advanced Standing Master of Social Work (M.S.W.),Master of Social Work (M.S.W.) (0.97); Social Work Major (B.S.S.W.) (0.68); Human Services Major (B.S.) (0.46); Doctor of Psychology in Clinical Psychology (Psy.D.) (0.32); Interdisciplinary Research Major (B.S.) (0.31)
Aeronautics (B.S.) - Commercial/Corporate - Resident,Aeronautics Major (B.S.) (0.73); Aeronautics (B.S.) - Global Studies - Resident (0.71); Aviation Technology: Flight and Maintenance Major (B.S.) (0.61); Unmanned Aircraft Operations Major (B.S.) (0.60); Aviation Major (B.S.) (0.56)
Aeronautics (B.S.) - Global Studies - Resident,Aeronautics (B.S.) - Commercial/Corporate - Resident (0.71); Aeronautics Major (B.S.) (0.56); Aviation Major (B.S.) (0.50); Unmanned Aircraft Operations Major (B.S.) (0.47); Aviation Management Major (B.S.) (0.43)
Aeronautics Major (B.S.),Unmanned Aircraft Operations Major (B.S.) (0.96); Aviation Management Major (B.S.) (0.92); Aviation Major (B.S.) (0.90); Aviation Administration Major (B.S.) (0.85); Aviation Technology: Flight and Maintenance Major (B.S.) (0.80)
Algebra I Education Certificate - Resident & Online,Mathematics Major (B.S.) (0.82); STEM Mathematics Major (A.S.) (0.81); Applied Mathematics & Statistics Major (B.S.) (0.79); Mathematics Education 6-12 Major (B.Ed.) (0.79); Computational Mathematics Major (B.S.) (0.78)
Apologetics Major (A.A.),Apologetics and Cultural Engagement Major (B.S.) (0.80); Theology Major (B.S.) (0.73); Bible Major (B.S.) (0.71); Religion Major (B.S.) (0.70); Religion Major (A.A.) (0.67)
Apologetics and Cultural Engagement Major (B.S.),Theology Major (B.S.) (0.85); Religion Major (B.S.) (0.83); Religion Major (A.A.) (0.81); Bible Major (B.S.) (0.81); Apologetics Major (A.A.) (0.80)
Application Development Certificate - Online,Web Development Certificate - Online (0.69); Information Technology Major (B.S.) (0.68); Information Systems Major (B.S.) (0.64); Computer Science Major (B.S.) (0.63); Computer Science Education 6-12 Major (B.Ed.) (0.62)
Applied Communication Studies - Graduate Certificate,Fundamentals of Communication - Graduate Certificate (0.83); Organizational Communication - Graduate Certificate (0.58); Master of Arts in Professional Communication (M.A.) (0.57); Master of Arts in Communication (M.A.) (0.54); Master of Arts in Digital Content (M.A.) (0.52)
Applied Mathematics & Statistics Major (B.S.),Mathematics Major (B.S.) (0.94); Computational Mathematics Major (B.S.) (0.87); Mathematics Education 6-12 Major (B.Ed.) (0.84); Computer Science Major (B.S.) (0.81); Computer Science Cybersecurity Major (B.S.) (0.79)
Applied Ministry Major (B.S.),Religion Major (B.S.) (0.89); Master of Arts in Interdisciplinary Studies (M.A.) (0.89); Master of Arts in Interdisciplinary Research (M.A.) (0.88); Master of Arts in Applied Ministry (M.A.) (0.88); Interdisciplinary Studies Major (B.A. or B.S.) (0.88)
Autism Education - Graduate Certificate,Master of Arts in Educational Studies (M.A.) (0.61); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.59); Interdisciplinary Studies Major (B.A. or B.S.) (0.59); Bachelor of Education in Special Education - General Curriculum K-12 (0.59); Master of Arts in Teaching in Special Education (M.A.T.) (0.59)
Autism Education Certificate - Online,Special Education Interdisciplinary Studies Major (B.S.) (0.75); Interdisciplinary Studies Major (B.A. or B.S.) (0.59); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.58); Biblical & Educational Studies Major (B.S.) (0.57); Master of Arts in Teaching in Special Education (M.A.T.) (0.57)
Aviation Administration Major (B.S.),Aviation Management Major (B.S.) (0.90); Aeronautics Major (B.S.) (0.85); Unmanned Aircraft Operations Major (B.S.) (0.84); Aviation Major (B.S.) (0.81); Business Administration & Data Analysis Major (B.S.) (0.74)
Aviation Maintenance Major (B.S.),Aviation Maintenance Management Major (B.S.) (0.95); Aviation Technology: Flight and Maintenance Major (B.S.) (0.93); Aviation Maintenance Technician Major (A.A.) (0.87); Aviation Maintenance Technician Certificate - Resident (0.87); Unmanned Aircraft Operations Major (B.S.) (0.72)
Aviation Maintenance Management Major (B.S.),Aviation Maintenance Major (B.S.) (0.95); Aviation Technology: Flight and Maintenance Major (B.S.) (0.92); Aviation Maintenance Technician Major (A.A.) (0.86); Aviation Maintenance Technician Certificate - Resident (0.86); Aviation Management Major (B.S.) (0.74)
Aviation Maintenance Technician Certificate - Resident,Aviation Maintenance Technician Major (A.A.) (1.00); Aviation Maintenance Major (B.S.) (0.87); Aviation Maintenance Management Major (B.S.) (0.86); Aviation Technology: Flight and Maintenance Major (B.S.) (0.84); Aeronautics Major (B.S.) (0.44)
Aviation Maintenance Technician Major (A.A.),Aviation Maintenance Technician Certificate - Resident (1.00); Aviation Maintenance Major (B.S.) (0.87); Aviation Maintenance Management Major (B.S.) (0.86); Aviation Technology: Flight and Maintenance Major (B.S.) (0.84); Aeronautics Major (B.S.) (0.44)
Aviation Major (B.S.),Aeronautics Major (B.S.) (0.90); Unmanned Aircraft Operations Major (B.S.) (0.88); Aviation Management Major (B.S.) (0.88); Aviation Administration Major (B.S.) (0.81); Aviation Technology: Flight and Maintenance Major (B.S.) (0.70)
Aviation Management Major (B.S.),Unmanned Aircraft Operations Major (B.S.) (0.92); Aeronautics Major (B.S.) (0.92); Aviation Administration Major (B.S.) (0.90); Aviation Major (B.S.) (0.88); Aviation Technology: Flight and Maintenance Major (B.S.) (0.75)
Aviation Technology: Flight and Maintenance Major (B.S.),Aviation Maintenance Major (B.S.) (0.93); Aviation Maintenance Management Major (B.S.) (0.92); Aviation Maintenance Technician Major (A.A.) (0.84); Aviation Maintenance Technician Certificate - Resident (0.84); Aeronautics Major (B.S.) (0.80)
Bachelor of Arts in American Sign Language & Interpreting (B.A.),English as a Second Language Education P-12 Major (B.Ed.) (0.65); Global and Intercultural Engagement Major (B.S.) (0.63); Teaching English as a Second Language Major (B.S.)  (0.62); Interdisciplinary Studies Major (B.A. or B.S.) (0.61); Master of Arts in Interdisciplinary Studies (M.A.) (0.58)
Bachelor of Education in Special Education - General Curriculum K-12,Elementary Education Major (B.Ed.) (0.98); Middle Education Major (B.Ed.) (0.96); Biology Education 6-12 Major (B.Ed.) (0.94); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.89); Business Education 6-12 Major (B.Ed.) (0.89)
Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.),Nursing Major (R.N. to B.S.N.) (0.95); Nursing Major (B.S.N.) (0.92); Master of Science in Nursing (M.S.N.) (0.75); Psychology (B.S.) - Child Life Specialist - Resident (0.70); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.69)
Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion,Master of Public Health (M.P.H.) (0.95); Public Health Major (B.S.) (0.94); Public Health (B.S.) - Community Health Promotion - Resident (0.91); Public Health (M.P.H.) - Health Promotion (0.91); Public Health (B.S.) - Pre-Clinical - Resident (0.90)
Bible Major (B.S.),Religion Major (B.S.) (0.93); Theology Major (B.S.) (0.86); Biblical Counseling Major (B.S.) (0.86); Biblical Studies Major (A.A.) (0.86); Applied Ministry Major (B.S.) (0.85)
Biblical & Educational Studies Major (B.S.),Special Education Interdisciplinary Studies Major (B.S.) (0.83); Elementary Education Interdisciplinary Studies Major (B.S.) (0.81); Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.79); Interdisciplinary Studies Major (B.A. or B.S.) (0.72); Preschool Certificate - Online (0.72)
Biblical Counseling Major (B.S.),Bible Major (B.S.) (0.86); Biblical Studies Major (A.A.) (0.85); Biblical Studies Major (B.A.) (0.83); Religion Major (B.S.) (0.82); Master of Arts in Christian Ministry (M.A.) (0.77)
Biblical Languages (M.A.) - Thesis,Master of Arts in Biblical Languages (M.A.)  (0.72); Master of Arts in Biblical Studies (M.A.) (0.68); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.67); Doctor of Philosophy in Theology & Apologetics (Ph.D.) (0.65); Master of Arts in Interdisciplinary Research (M.A.) (0.65)
